,Location,Model,Type,Reference,Lithology,Sample,Mg,Al,Si,Ti,V,Mn,Cr,Zn,Co,Ni,Ga,Fe
1531,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-13,101.08030696426329,321.27451210655084,2000.0,11.0,2.0,12.39889061965831,6.0,7.21,1.9117922513134753,2.0,1.81,72.36
1532,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-13,355.5407913205443,442.1735003746686,2000.0,11.0,2.0,22.191448376956078,16.360843685037022,13.8379715681263,1.0,2.0,1.81,72.36
1533,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-13,2102.2622405605334,768.1959815308538,5813.83347648605,11.0,2.0,88.81222197867474,6.0,7.21,1.0,2.0,1.81,72.36
1534,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-13,469.68692714173835,478.31634505006843,4156.938869518983,11.0,2.0,5.48,6.0,7.21,1.0,2.0,1.81,72.36
1535,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-13,36.523644582658946,515.0066924706592,2000.0,41.76017805502196,7.071340757064869,3.0,7.145189567508114,19.411373220659215,1.0,5.309263807279214,1.4246800389299112,72.36
1536,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-13,2806.087871230387,194.14066628179077,3680.423295159347,26.962715553100598,6.587563042603603,126.18845346724862,6.0,15.942329211650938,1.7007686874682226,9.324925923186111,2.195056457108156,72.36
1537,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-13,237.14447642324336,103.63769055358422,2000.0,25.279267206470298,6.789375064936008,13.052151363977387,6.0,16.48276776132009,1.91088230341863,3.5575651420781105,1.0127265339924287,72.36
1538,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,32.2322158969711,72.88277201529995,2000.0,11.0,9.218657860508362,4.9059093447659095,6.0,17.560774612586997,2.7153091128887423,12.446893706752286,1.0,72.36
1539,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,1039.3791664528148,81.1767879588596,2000.0,11.0,10.559102826980716,42.560531958311024,6.0,19.44543739803331,2.64100882673613,13.146508200797223,1.81,72.36
1540,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,55.90806488526241,72.79760909225548,2000.0,11.0,10.132235966787803,5.48,6.0,19.345667417272036,2.5446503655711408,11.506969056980745,1.81,72.36
1541,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,365.0777459904738,76.6790403381682,2000.0,11.0,9.799624689634397,15.345332503084814,6.0,28.272157751157163,2.689264404671247,13.494364985229508,1.81,72.36
1542,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,670.8110360016452,65.31754307560186,2000.0,11.0,9.6660481720407,20.98342920878394,6.0,20.548384990099155,2.8662011100326663,11.947371764654626,1.0,72.36
1543,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,851.556888011181,59.34180504794533,2000.0,11.0,10.412278631328633,22.304719352150567,6.0,15.812799210723513,2.6009086973089044,12.127589069542005,1.81,72.36
1544,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,1420.0719765589836,64.47848235042808,2000.0,11.0,9.178103601338943,36.231739044243795,6.0,17.655687633384765,2.9439553193921535,11.4916177589172,1.81,72.36
1545,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,170.24989814334967,70.7031363833215,2000.0,11.0,12.392151176081402,11.582467261430489,6.0,17.784618540494346,2.7329773900977337,11.56873713096772,1.0,72.36
1546,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,44.6093169220048,158.41075413603454,2000.0,11.0,16.694108844000265,8.508493322189523,6.0,24.86201823265487,5.114842106151924,17.22391226270484,1.0,72.36
1547,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,22.17599987410646,123.7605608128562,2000.0,11.0,13.828589562455699,7.656142938087125,6.0,24.3117267521925,4.83717290375976,16.33771236724273,1.0,72.36
1548,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-14,48.616773642166436,102.61604593530271,2000.0,11.0,14.886993036964428,10.94930813115903,6.0,25.109913598176853,5.19132431842533,16.884785303080452,1.0,72.36
1549,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-26,160.19223249991308,79.32377567222821,2000.0,142.13270669520165,12.665616500475279,11.406438675642137,6.0,10.470764999793703,1.6831888006926867,16.24360389727158,1.0,72.36
1550,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-26,135.4660430118994,111.98534839258546,2000.0,144.69590911217298,12.220509914758477,9.86794415338571,6.0,11.717787414818147,1.6907783948342776,16.425065225843237,1.0956767515659604,72.36
1551,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-26,8175.35265042167,75.06838677968257,2000.0,143.6770525001031,12.748984297466372,168.45231977348482,6.0,15.256512528909647,1.7513527072689403,15.92562872775498,1.0483965361068726,72.36
1552,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-26,4764.400971322885,77.06288361554951,2000.0,133.05809613838784,12.933842059243991,96.9568611963292,6.0,19.56657724607885,1.9756155706985694,14.116856477241662,1.0184695697000374,72.36
1553,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-26,794.1544623747103,55.23466295184582,2000.0,141.07654366096708,12.066378856483574,22.989820091284034,6.0,7.21,1.0,16.108748738775517,1.81,72.36
1554,Beebyn,BIF,Unassigned,Duuring et al 2018,,BN-W10-26,1751.242325342403,146.76652065718508,2000.0,141.24795883187423,12.794192663711492,39.21796450689397,6.0,7.21,1.0,15.929241687699704,1.81,72.36
1555,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-20,0.889,10.0,6569.151134757055,11.0,2.0,530.1616410928171,6.0,7.21,1.0,2.0,1.81,72.36
1556,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-20,209.56926386208787,19.248751437800244,21553.820156007347,11.0,2.0,729.7327840342292,6.0,6.376945055413376,1.0,9.476770789561288,1.81,72.36
1557,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-20,208.27021400948763,24.812004544955027,4046.5791877883808,11.0,2.0,796.7590995634326,6.0,7.21,1.0,9.890024051425494,1.81,72.36
1558,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,83.30236521979185,46.27592767611604,2898.7407864556117,14.479677494561988,12.465293573666896,65.14225767889069,6.0,6.0,1.0,7.7792078699790315,1.81,72.36
1559,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,34.137273040873346,19.07790504083127,2136.821762003228,13.108506402205574,12.032516592581334,39.45567820567456,6.0,6.0,1.0,5.020962566097597,1.81,72.36
1560,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,40.99798364223625,19.53871967265932,2000.0,13.818478483911505,12.358370184719217,46.16557194893015,6.0,6.0,1.0,5.606159364969088,1.0,72.36
1561,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,62.93345322909362,30.35844615720734,2626.175328335743,11.0,13.283913658734884,70.89032446618943,6.0,7.21,1.0656091583814353,8.874261935782057,1.81,72.36
1562,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,83.46128925719208,24.50116434642018,2686.8164821234495,11.0,11.641742746685745,65.29992772545341,6.0,7.21,1.0,7.249605500555146,1.81,72.36
1563,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,93.65513347110128,39.676476727775636,2587.877743077973,11.0,13.333549292854666,99.20572346784628,6.0,6.259028324651447,1.0479144476912814,12.061378694760077,1.0,72.36
1564,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,30.90763320016134,18.712870744719996,2038.9666999102906,11.712722341809288,12.205893817185922,46.42862734450269,6.0,6.0,1.0,5.7785818350795175,1.0,72.36
1565,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,61.229787150101295,26.644649093159135,2663.0037181312937,13.95029763290289,12.863303451248287,70.00283687473552,6.0,6.0,1.0,9.189022960242283,1.81,72.36
1566,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,135.08071856961524,38.111587744662465,2721.7319630411444,12.8946788619806,12.342532812208457,78.49191754153065,6.0,6.0,1.0,6.028530500178994,1.81,72.36
1567,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,411.77597629186005,30.06229550086628,4214.05526035383,13.497259439897658,12.080145109571465,109.1238546631907,6.0,6.0,1.0,7.282498494094912,1.0,72.36
1568,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,83.11815452854466,28.664099847663884,2387.680689650818,12.786500120223051,12.872972587604185,67.13354358441777,6.0,6.0,1.0,8.60941208029314,1.0,72.36
